frame_index,cpu_eager_bs1_state,cpu_eager_bs1_row_count,cpu_optimized_bs1_state,cpu_optimized_bs1_row_count,cuda_eager_bs1_state,cuda_eager_bs1_row_count,cuda_eager_bs32_state,cuda_eager_bs32_row_count,cuda_no_tf32_eager_bs1_state,cuda_no_tf32_eager_bs1_row_count,cuda_no_tf32_eager_bs32_state,cuda_no_tf32_eager_bs32_row_count,cpu_eager_bs1__cpu_optimized_bs1_max_probability_abs_diff,cpu_eager_bs1__cuda_eager_bs1_max_probability_abs_diff,cuda_eager_bs1__cuda_eager_bs32_max_probability_abs_diff,cpu_optimized_bs1__cuda_eager_bs32_max_probability_abs_diff,cpu_eager_bs1__cuda_no_tf32_eager_bs1_max_probability_abs_diff,cuda_eager_bs1__cuda_no_tf32_eager_bs1_max_probability_abs_diff,cpu_eager_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cuda_no_tf32_eager_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cpu_optimized_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cuda_eager_bs32__cuda_no_tf32_eager_bs32_max_probability_abs_diff
0,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,3.0994415283203125e-06,0.004244565963745117,0.0062329769134521484,0.003579646348953247,6.139278411865234e-06,0.004238814115524292,2.002716064453125e-05,2.1338462829589844e-05,1.9609928131103516e-05,0.0035923123359680176
1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,5.0961971282958984e-06,0.0036224722862243652,0.0039713382720947266,0.002411961555480957,3.6954879760742188e-06,0.0036235451698303223,2.0563602447509766e-05,1.913309097290039e-05,1.8775463104248047e-05,0.0024305880069732666
2,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,2.86102294921875e-06,0.004632025957107544,0.003737121820449829,0.0032031238079071045,3.844499588012695e-06,0.0046346187591552734,1.0371208190917969e-05,1.0073184967041016e-05,1.0162591934204102e-05,0.0032024383544921875
3,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,4.231929779052734e-06,0.00440642237663269,0.004254162311553955,0.003073394298553467,5.751848220825195e-06,0.0044033825397491455,1.1473894119262695e-05,9.894371032714844e-06,1.1086463928222656e-05,0.0030794739723205566
4,candidate,2,candidate,2,candidate,2,candidate,2,candidate,2,candidate,2,6.67572021484375e-06,0.0030535459518432617,0.003616422414779663,0.0024986565113067627,5.304813385009766e-06,0.0030570030212402344,1.0639429092407227e-05,7.569789886474609e-06,8.851289749145508e-06,0.002500206232070923
5,valid,2,valid,2,valid,2,valid,2,valid,2,valid,2,4.976987838745117e-06,0.0074641406536102295,0.00520932674407959,0.002261340618133545,3.7550926208496094e-06,0.007466435432434082,1.1265277862548828e-05,9.119510650634766e-06,1.1771917343139648e-05,0.002264559268951416
6,valid,2,valid,2,valid,2,valid,2,valid,2,valid,2,4.678964614868164e-06,0.004390031099319458,0.0037008821964263916,0.0051261186599731445,4.678964614868164e-06,0.004392266273498535,7.510185241699219e-06,9.238719940185547e-06,6.3478946685791016e-06,0.005129635334014893
7,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,5.662441253662109e-06,0.0027143359184265137,0.005470782518386841,0.00355684757232666,5.543231964111328e-06,0.002714991569519043,1.2636184692382812e-05,1.2040138244628906e-05,1.2934207916259766e-05,0.0035560429096221924
8,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,5.066394805908203e-06,0.003728151321411133,0.005776137113571167,0.005624502897262573,8.106231689453125e-06,0.0037289559841156006,7.897615432739258e-06,1.284480094909668e-05,7.927417755126953e-06,0.00561755895614624
9,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,4.082918167114258e-06,0.003801316022872925,0.00498613715171814,0.002701878547668457,4.291534423828125e-06,0.0038039684295654297,2.6226043701171875e-05,2.765655517578125e-05,2.8908252716064453e-05,0.002703458070755005
10,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,6.973743438720703e-06,0.003997117280960083,0.004332244396209717,0.00286787748336792,4.708766937255859e-06,0.003997504711151123,1.1622905731201172e-05,1.1205673217773438e-05,1.5974044799804688e-05,0.002864629030227661
11,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,9.119510650634766e-06,0.003442108631134033,0.00466570258140564,0.0027793049812316895,6.109476089477539e-06,0.0034410953521728516,1.189112663269043e-05,1.1265277862548828e-05,1.239776611328125e-05,0.0027843713760375977
12,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,3.6656856536865234e-06,0.0040979087352752686,0.005143404006958008,0.00436776876449585,4.857778549194336e-06,0.004094600677490234,1.0639429092407227e-05,1.0341405868530273e-05,9.953975677490234e-06,0.004358351230621338
13,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,5.4836273193359375e-06,0.004341930150985718,0.0067282915115356445,0.0032318830490112305,5.304813385009766e-06,0.004339069128036499,1.531839370727539e-05,1.329183578491211e-05,1.1563301086425781e-05,0.0032387077808380127
14,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,degraded,3,1.0401010513305664e-05,0.003697812557220459,0.005231648683547974,0.004618287086486816,4.231929779052734e-06,0.003697514533996582,1.1444091796875e-05,1.3500452041625977e-05,2.1785497665405273e-05,0.004640072584152222
15,valid,4,valid,4,valid,4,valid,4,valid,4,valid,4,7.0035457611083984e-06,0.004666417837142944,0.0060294270515441895,0.004191219806671143,5.781650543212891e-06,0.004664689302444458,1.0132789611816406e-05,4.827976226806641e-06,1.1116266250610352e-05,0.004188865423202515
16,valid,2,valid,2,valid,2,valid,2,valid,2,valid,2,3.516674041748047e-06,0.0027233362197875977,0.005586206912994385,0.004007518291473389,9.179115295410156e-06,0.002725958824157715,7.092952728271484e-06,6.943941116333008e-06,6.109476089477539e-06,0.00400853157043457
17,valid,1,valid,1,valid,1,valid,1,valid,1,valid,1,3.3974647521972656e-06,0.003260999917984009,0.005218327045440674,0.002814650535583496,7.361173629760742e-06,0.003259897232055664,2.3484230041503906e-05,1.6123056411743164e-05,2.014636993408203e-05,0.0028103888034820557
18,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,degraded,1,3.814697265625e-06,0.004422873258590698,0.0067864954471588135,0.0037055909633636475,4.708766937255859e-06,0.004423558712005615,8.493661880493164e-06,1.2159347534179688e-05,8.195638656616211e-06,0.00370866060256958
19,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,6.735324859619141e-06,0.005967468023300171,0.007647395133972168,0.00421452522277832,5.21540641784668e-06,0.005969345569610596,2.041459083557129e-05,1.8537044525146484e-05,2.0116567611694336e-05,0.004208475351333618
20,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,5.4836273193359375e-06,0.004381924867630005,0.00660097599029541,0.0033656656742095947,3.635883331298828e-06,0.0043853819370269775,1.2099742889404297e-05,1.1414289474487305e-05,1.0907649993896484e-05,0.0033623874187469482
21,degraded,3,degraded,3,valid,3,degraded,3,degraded,3,degraded,3,3.0994415283203125e-06,0.004379332065582275,0.007407546043395996,0.004139751195907593,4.76837158203125e-06,0.004377931356430054,7.18235969543457e-06,8.404254913330078e-06,7.68899917602539e-06,0.004136413335800171
22,degraded,3,degraded,3,valid,3,degraded,3,degraded,3,degraded,3,3.4570693969726562e-06,0.00321236252784729,0.005798369646072388,0.0027473270893096924,4.649162292480469e-06,0.003216564655303955,1.239776611328125e-05,9.775161743164062e-06,1.379847526550293e-05,0.0027429163455963135
23,degraded,2,degraded,2,valid,2,degraded,2,degraded,2,degraded,2,3.7550926208496094e-06,0.004409044981002808,0.004643082618713379,0.002854287624359131,4.0531158447265625e-06,0.0044082701206207275,1.0609626770019531e-05,9.864568710327148e-06,1.2218952178955078e-05,0.0028495490550994873
24,degraded,2,degraded,2,valid,2,degraded,2,degraded,2,degraded,2,2.9206275939941406e-06,0.004551112651824951,0.004887402057647705,0.004568308591842651,3.814697265625e-06,0.004550516605377197,1.1414289474487305e-05,1.0341405868530273e-05,1.329183578491211e-05,0.004564106464385986
25,valid,3,valid,3,valid,3,degraded,3,valid,3,valid,3,4.738569259643555e-06,0.004731357097625732,0.0072526633739471436,0.0027890801429748535,4.231929779052734e-06,0.004735022783279419,2.1576881408691406e-05,1.7642974853515625e-05,2.0384788513183594e-05,0.002809464931488037
