relative_path,class_name,sha256,reason,action
Delonix regia/IMG_4585.JPG,Delonix regia,35ae75a6a5ecdb95a796bfa15b5e692ea9d2ce83ccf8de83b8ce107b3aa4b753,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4585.JPG,Terminalia catappa,35ae75a6a5ecdb95a796bfa15b5e692ea9d2ce83ccf8de83b8ce107b3aa4b753,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4582.JPG,Delonix regia,7bd4fab0255f02531e6b1ffeabed8c109050b6bb223aaeb4227f5069bb8a055c,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4582.JPG,Terminalia catappa,7bd4fab0255f02531e6b1ffeabed8c109050b6bb223aaeb4227f5069bb8a055c,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4587.JPG,Delonix regia,890668cfc7f9ec72454d65fbc6b5a366ba3b7052f19e71b6e22e5bc53c7f6e6a,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4587.JPG,Terminalia catappa,890668cfc7f9ec72454d65fbc6b5a366ba3b7052f19e71b6e22e5bc53c7f6e6a,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4591.JPG,Delonix regia,9ac618d70ca3091b07bbacbce884780a0c55e7e753162893a601a5cdfa934532,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4591.JPG,Terminalia catappa,9ac618d70ca3091b07bbacbce884780a0c55e7e753162893a601a5cdfa934532,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4588.JPG,Delonix regia,aa0735cded73b75c721d1f1235e2e93d2abdc59d6f79950d1895f7baad03a797,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4588.JPG,Terminalia catappa,aa0735cded73b75c721d1f1235e2e93d2abdc59d6f79950d1895f7baad03a797,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4586.JPG,Delonix regia,c4f1b06247424fccf50a4aeba06422ce3e90bed0d5479a61ab2987cb8aabbe27,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4586.JPG,Terminalia catappa,c4f1b06247424fccf50a4aeba06422ce3e90bed0d5479a61ab2987cb8aabbe27,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4584.JPG,Delonix regia,ce921cd2566be6ca11a0676dc7cb128108a168cf441f47eb2bf6ad24d5cd38f6,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4584.JPG,Terminalia catappa,ce921cd2566be6ca11a0676dc7cb128108a168cf441f47eb2bf6ad24d5cd38f6,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4589.JPG,Delonix regia,d4c8ba7d0ac089da53625392f9626b38e77e41972913370c38beb827fb8e9949,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4589.JPG,Terminalia catappa,d4c8ba7d0ac089da53625392f9626b38e77e41972913370c38beb827fb8e9949,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4583.JPG,Delonix regia,d8ce09979606696a5a68cefd7c6894897d7aef7dce6f59bafeec7b0a69e75f39,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4583.JPG,Terminalia catappa,d8ce09979606696a5a68cefd7c6894897d7aef7dce6f59bafeec7b0a69e75f39,exact duplicate with conflicting class label,"exclude from train, validation and test"
Delonix regia/IMG_4590.JPG,Delonix regia,e2dd32fe84e540024c08e00d674808c0540b8b517fdfd878695f6528abc8573b,exact duplicate with conflicting class label,"exclude from train, validation and test"
Terminalia catappa/IMG_4590.JPG,Terminalia catappa,e2dd32fe84e540024c08e00d674808c0540b8b517fdfd878695f6528abc8573b,exact duplicate with conflicting class label,"exclude from train, validation and test"
