filename,test_type,expected_class,view_type,species_name,source_page_url,direct_image_url,creator,license,record_id,download_date,notes
positive_01_01.jpg,positive,Anacardium occidentale,closeup,Anacardium occidentale,https://commons.wikimedia.org/wiki/File:Cashew_nut_tree_bark.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Cashew_nut_tree_bark.jpg,Vinayaraj,CC BY-SA 3.0,commons-page-22373571,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_01_02.jpg,positive,Anacardium occidentale,wider_trunk,Anacardium occidentale,https://commons.wikimedia.org/wiki/File:Cashew_Brazil_trunk.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Cashew_Brazil_trunk.jpg,Eric Gaba ( Sting - fr:Sting ),CC BY-SA 3.0,commons-page-508410,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_02_01.jpg,positive,Artocarpus heterophyllus,closeup,Artocarpus heterophyllus,https://commons.wikimedia.org/wiki/File:Artocarpus_heterophyllus_14zz.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Artocarpus_heterophyllus_14zz.jpg,Photo by David J. Stang,CC BY-SA 4.0,commons-page-61155399,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_02_02.jpg,positive,Artocarpus heterophyllus,wider_trunk,Artocarpus heterophyllus,https://commons.wikimedia.org/wiki/File:Starr-091104-0961-Artocarpus_heterophyllus-trunk_and_bark-Kahanu_Gardens_NTBG_Kaeleku_Hana-Maui_(24987917365).jpg,https://upload.wikimedia.org/wikipedia/commons/3/37/Starr-091104-0961-Artocarpus_heterophyllus-trunk_and_bark-Kahanu_Gardens_NTBG_Kaeleku_Hana-Maui_%2824987917365%29.jpg,Forest and Kim Starr,CC BY 3.0 us,commons-page-71848847,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_03_01.jpg,positive,Carica papaya,closeup,Carica papaya,https://commons.wikimedia.org/wiki/File:Carica_papaya_Melonowiec_w%C5%82a%C5%9Bciwy_2019-04-28_03.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Carica_papaya_Melonowiec_w%C5%82a%C5%9Bciwy_2019-04-28_03.jpg,"Agnieszka Kwiecień, Nova",CC BY-SA 4.0,commons-page-106029153,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_03_02.jpg,positive,Carica papaya,wider_trunk,Carica papaya,https://commons.wikimedia.org/wiki/File:Hua_Ho_Agricultural_Farm_03.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Hua_Ho_Agricultural_Farm_03.jpg,Pangalau,CC BY-SA 4.0,commons-page-151985823,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_04_01.jpg,positive,Cocos nucifera,closeup,Cocos nucifera,"https://commons.wikimedia.org/wiki/File:The_bark_of_a_coconut_tree_in_Phan_Thiet,_Vietnam.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9a/The_bark_of_a_coconut_tree_in_Phan_Thiet%2C_Vietnam.jpg,MinhVN123,CC BY-SA 4.0,commons-page-174299423,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_04_02.jpg,positive,Cocos nucifera,wider_trunk,Cocos nucifera,https://commons.wikimedia.org/wiki/File:Pohon_Kelapa_Di_Desa_Bontotiro.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Pohon_Kelapa_Di_Desa_Bontotiro.jpg,Kurniawan Maulana,CC BY-SA 4.0,commons-page-118389798,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_05_01.jpg,positive,Delonix regia,closeup,Delonix regia,https://commons.wikimedia.org/wiki/File:Bark_of_Delonix_regia2.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Bark_of_Delonix_regia2.jpg,Geographer,CC BY-SA 3.0,commons-page-41698181,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_05_02.jpg,positive,Delonix regia,wider_trunk,Delonix regia,https://commons.wikimedia.org/wiki/File:Starr-090602-8775-Delonix_regia-trunk-Wailuku-Maui_(24868678691).jpg,https://upload.wikimedia.org/wikipedia/commons/4/44/Starr-090602-8775-Delonix_regia-trunk-Wailuku-Maui_%2824868678691%29.jpg,Forest and Kim Starr,CC BY 3.0 us,commons-page-71812253,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_06_01.jpg,positive,Hevea brasiliensis,closeup,Hevea brasiliensis,"https://commons.wikimedia.org/wiki/File:Kyaikhto,_caucho_4.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a8/Kyaikhto%2C_caucho_4.jpg,LBM1948,CC BY-SA 4.0,commons-page-85782288,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_06_02.jpg,positive,Hevea brasiliensis,wider_trunk,Hevea brasiliensis,https://commons.wikimedia.org/wiki/File:Latex_being_collected_from_a_tapped_rubber_tree.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Latex_being_collected_from_a_tapped_rubber_tree.jpg,Mohd Hafiz Noor Shams / __earth,CC BY 2.5,commons-page-12650169,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
positive_07_01.jpg,positive,Psidium guajava,closeup,Psidium guajava,https://commons.wikimedia.org/wiki/File:Guava_bark.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Guava_bark.jpg,Vinayaraj,CC BY-SA 3.0,commons-page-22373588,2026-08-14,downloaded from recorded original URL or official Commons 1600px fallback; machine-validated; pending manual visual confirmation
