group_number,sha256,class_name,relative_path
1,35ae75a6a5ecdb95a796bfa15b5e692ea9d2ce83ccf8de83b8ce107b3aa4b753,Delonix regia,Delonix regia/IMG_4585.JPG
1,35ae75a6a5ecdb95a796bfa15b5e692ea9d2ce83ccf8de83b8ce107b3aa4b753,Terminalia catappa,Terminalia catappa/IMG_4585.JPG
2,7bd4fab0255f02531e6b1ffeabed8c109050b6bb223aaeb4227f5069bb8a055c,Delonix regia,Delonix regia/IMG_4582.JPG
2,7bd4fab0255f02531e6b1ffeabed8c109050b6bb223aaeb4227f5069bb8a055c,Terminalia catappa,Terminalia catappa/IMG_4582.JPG
3,890668cfc7f9ec72454d65fbc6b5a366ba3b7052f19e71b6e22e5bc53c7f6e6a,Delonix regia,Delonix regia/IMG_4587.JPG
3,890668cfc7f9ec72454d65fbc6b5a366ba3b7052f19e71b6e22e5bc53c7f6e6a,Terminalia catappa,Terminalia catappa/IMG_4587.JPG
4,9ac618d70ca3091b07bbacbce884780a0c55e7e753162893a601a5cdfa934532,Delonix regia,Delonix regia/IMG_4591.JPG
4,9ac618d70ca3091b07bbacbce884780a0c55e7e753162893a601a5cdfa934532,Terminalia catappa,Terminalia catappa/IMG_4591.JPG
5,aa0735cded73b75c721d1f1235e2e93d2abdc59d6f79950d1895f7baad03a797,Delonix regia,Delonix regia/IMG_4588.JPG
5,aa0735cded73b75c721d1f1235e2e93d2abdc59d6f79950d1895f7baad03a797,Terminalia catappa,Terminalia catappa/IMG_4588.JPG
6,c4f1b06247424fccf50a4aeba06422ce3e90bed0d5479a61ab2987cb8aabbe27,Delonix regia,Delonix regia/IMG_4586.JPG
6,c4f1b06247424fccf50a4aeba06422ce3e90bed0d5479a61ab2987cb8aabbe27,Terminalia catappa,Terminalia catappa/IMG_4586.JPG
7,ce921cd2566be6ca11a0676dc7cb128108a168cf441f47eb2bf6ad24d5cd38f6,Delonix regia,Delonix regia/IMG_4584.JPG
7,ce921cd2566be6ca11a0676dc7cb128108a168cf441f47eb2bf6ad24d5cd38f6,Terminalia catappa,Terminalia catappa/IMG_4584.JPG
8,d4c8ba7d0ac089da53625392f9626b38e77e41972913370c38beb827fb8e9949,Delonix regia,Delonix regia/IMG_4589.JPG
8,d4c8ba7d0ac089da53625392f9626b38e77e41972913370c38beb827fb8e9949,Terminalia catappa,Terminalia catappa/IMG_4589.JPG
9,d8ce09979606696a5a68cefd7c6894897d7aef7dce6f59bafeec7b0a69e75f39,Delonix regia,Delonix regia/IMG_4583.JPG
9,d8ce09979606696a5a68cefd7c6894897d7aef7dce6f59bafeec7b0a69e75f39,Terminalia catappa,Terminalia catappa/IMG_4583.JPG
10,e2dd32fe84e540024c08e00d674808c0540b8b517fdfd878695f6528abc8573b,Delonix regia,Delonix regia/IMG_4590.JPG
10,e2dd32fe84e540024c08e00d674808c0540b8b517fdfd878695f6528abc8573b,Terminalia catappa,Terminalia catappa/IMG_4590.JPG
