class_index,class_name,precision,recall,f1_score,support,correct,incorrect
0,Acacia,1.0,1.0,1.0,15,15,0
1,Adenanthera microsperma,1.0,1.0,1.0,12,12,0
2,Adenium species,1.0,1.0,1.0,21,21,0
3,Anacardium occidentale,1.0,1.0,1.0,36,36,0
4,Annona squamosa,1.0,1.0,1.0,16,16,0
5,Artocarpus altilis,1.0,1.0,1.0,15,15,0
6,Artocarpus heterophyllus,0.9545454545454546,1.0,0.9767441860465116,21,21,0
7,Barringtonia acutangula,1.0,1.0,1.0,15,15,0
8,Cananga odorata,1.0,1.0,1.0,15,15,0
9,Carica papaya,1.0,1.0,1.0,31,31,0
10,Casuarina equisetifolia,0.9333333333333333,1.0,0.9655172413793104,14,14,0
11,Cedrus,1.0,1.0,1.0,14,14,0
12,Chrysophyllum cainino,1.0,1.0,1.0,16,16,0
13,Citrus aurantiifolia,1.0,1.0,1.0,16,16,0
14,Citrus grandis,1.0,1.0,1.0,12,12,0
15,Cocos nucifera,1.0,1.0,1.0,16,16,0
16,Dalbergia oliveri,0.7647058823529411,1.0,0.8666666666666667,13,13,0
17,Delonix regia,1.0,0.9285714285714286,0.9629629629629629,14,13,1
18,Dipterocarpus alatus,0.9583333333333334,0.9583333333333334,0.9583333333333334,24,23,1
19,Erythrina fusca,0.8823529411764706,1.0,0.9375,15,15,0
20,Eucalyptus,0.9444444444444444,0.8947368421052632,0.918918918918919,19,17,2
21,Ficus microcarpa,1.0,1.0,1.0,22,22,0
22,Ficus racemosa,1.0,0.9411764705882353,0.9696969696969697,17,16,1
23,Gmelina arborea Roxb,1.0,1.0,1.0,15,15,0
24,Hevea brasiliensis,1.0,1.0,1.0,16,16,0
25,Hopea,0.9230769230769231,0.9230769230769231,0.9230769230769231,13,12,1
26,Khaya senegalensis,1.0,1.0,1.0,14,14,0
27,Khaya senegalensis A.Juss,1.0,1.0,1.0,15,15,0
28,Lagerstroemia speciosa,1.0,0.8571428571428571,0.9230769230769231,14,12,2
29,Magnolia alba,1.0,1.0,1.0,14,14,0
30,Mangifera,0.9333333333333333,1.0,0.9655172413793104,14,14,0
31,Melaleuca,1.0,0.9375,0.967741935483871,16,15,1
32,Melia azedarach,1.0,1.0,1.0,15,15,0
33,Musa,1.0,1.0,1.0,20,20,0
34,Nephelium lappaceum,1.0,1.0,1.0,15,15,0
35,Persea,1.0,1.0,1.0,15,15,0
36,Polyalthia longifolia,1.0,1.0,1.0,15,15,0
37,Prunnus,1.0,1.0,1.0,12,12,0
38,Prunus salicina,1.0,1.0,1.0,16,16,0
39,Psidium guajava,1.0,1.0,1.0,18,18,0
40,Pterocarpus macrocarpus,1.0,0.9333333333333333,0.9655172413793104,15,14,1
41,Senna siamea,0.8666666666666667,0.9285714285714286,0.896551724137931,14,13,1
42,Spondias mombin L,1.0,1.0,1.0,15,15,0
43,Syzygium nervosum,1.0,1.0,1.0,16,16,0
44,Tamarindus indica,0.9375,1.0,0.967741935483871,15,15,0
45,Tectona grandis,1.0,0.8,0.8888888888888888,15,12,3
46,Terminalia catappa,1.0,0.9333333333333333,0.9655172413793104,15,14,1
47,Veitchia merrilli,1.0,1.0,1.0,23,23,0
48,Wrightia,0.9285714285714286,0.9285714285714286,0.9285714285714286,14,13,1
49,Wrightia religiosa,1.0,1.0,1.0,15,15,0
